ticker,sector_bucket,sector,obs_date,obs_q,horizon_q,isc_score,isc_trend,isc_ratio,isc_regime,altman_z,altman_regime,piotroski_f,piotroski_regime,beneish_m,beneish_regime,composite_regime,total_return,ann_return,max_drawdown,realized_vol,sector_relative_return,n_forward_days,outcome_regime,price_source,q1_return,q2_return,q3_return,q4_return,q5_return,q6_return,q7_return,q8_return,q9_return,q10_return,q11_return,q12_return
MMM,industrial,Industrials,2022-09-30,8,1,0.05344,0.8974,3.1,rising,3.884,safe,6,mixed,-2.251,clean,elevated,0.098,0.4533,-0.1,0.2755,0.1795,63,elevated,tiingo,0.098,-0.1163,-0.0426,-0.0863,0.233,0.0116,0.1269,0.3373,-0.0312,-0.0053,0.2194,0.0005
MMM,industrial,Industrials,2022-09-30,8,2,0.05344,0.8974,3.1,rising,3.884,safe,6,mixed,-2.251,clean,elevated,-0.0298,-0.0586,-0.2213,0.2794,0.0649,126,elevated,tiingo,0.098,-0.1163,-0.0426,-0.0863,0.233,0.0116,0.1269,0.3373,-0.0312,-0.0053,0.2194,0.0005
MMM,industrial,Industrials,2022-09-30,8,4,0.05344,0.8974,3.1,rising,3.884,safe,6,mixed,-2.251,clean,elevated,-0.1512,-0.1512,-0.2947,0.2817,-0.1783,252,rising,tiingo,0.098,-0.1163,-0.0426,-0.0863,0.233,0.0116,0.1269,0.3373,-0.0312,-0.0053,0.2194,0.0005
MMM,industrial,Industrials,2022-09-30,8,8,0.05344,0.8974,3.1,rising,3.884,safe,6,mixed,-2.251,clean,elevated,0.5955,0.2631,-0.32,0.3018,0.2584,504,rising,tiingo,0.098,-0.1163,-0.0426,-0.0863,0.233,0.0116,0.1269,0.3373,-0.0312,-0.0053,0.2194,0.0005
MMM,industrial,Industrials,2022-09-30,8,12,0.05344,0.8974,3.1,rising,3.884,safe,6,mixed,-2.251,clean,elevated,0.8757,0.2333,-0.32,0.2977,0.4168,756,rising,tiingo,0.098,-0.1163,-0.0426,-0.0863,0.233,0.0116,0.1269,0.3373,-0.0312,-0.0053,0.2194,0.0005
MMM,industrial,Industrials,2023-06-30,10,1,0.089052,-0.8909,0.628,stable,2.978,grey,5,mixed,-3.098,clean,stable,-0.0506,-0.1876,-0.1596,0.2732,-0.1247,63,elevated,tiingo,-0.0506,0.186,0.0228,0.1023,0.3559,-0.0531,0.0878,0.092,0.0498,0.0353,-0.1134,
MMM,industrial,Industrials,2023-06-30,10,2,0.089052,-0.8909,0.628,stable,2.978,grey,5,mixed,-3.098,clean,stable,0.126,0.2678,-0.2287,0.2562,-0.0227,126,elevated,tiingo,-0.0506,0.186,0.0228,0.1023,0.3559,-0.0531,0.0878,0.092,0.0498,0.0353,-0.1134,
MMM,industrial,Industrials,2023-06-30,10,4,0.089052,-0.8909,0.628,stable,2.978,grey,5,mixed,-3.098,clean,stable,0.2694,0.2694,-0.2287,0.2701,0.0548,252,elevated,tiingo,-0.0506,0.186,0.0228,0.1023,0.3559,-0.0531,0.0878,0.092,0.0498,0.0353,-0.1134,
MMM,industrial,Industrials,2023-06-30,10,8,0.089052,-0.8909,0.628,stable,2.978,grey,5,mixed,-3.098,clean,stable,0.936,0.3914,-0.2287,0.3105,0.3152,504,elevated,tiingo,-0.0506,0.186,0.0228,0.1023,0.3559,-0.0531,0.0878,0.092,0.0498,0.0353,-0.1134,
MMM,industrial,Industrials,2023-06-30,10,12,0.089052,-0.8909,0.628,stable,2.978,grey,5,mixed,-3.098,clean,stable,0.8755,0.2462,-0.2287,0.2976,-0.1384,720,elevated,tiingo,-0.0506,0.186,0.0228,0.1023,0.3559,-0.0531,0.0878,0.092,0.0498,0.0353,-0.1134,
MMM,industrial,Industrials,2023-12-31,12,1,0.076343,-0.2384,0.846,stable,2.139,grey,4,mixed,-3.558,clean,stable,0.0203,0.0835,-0.1598,0.3491,0.0135,63,elevated,tiingo,0.0203,0.0981,0.3398,-0.0371,-0.0167,0.2174,0.019,0.0706,-0.0984,,,
MMM,industrial,Industrials,2023-12-31,12,2,0.076343,-0.2384,0.846,stable,2.139,grey,4,mixed,-3.558,clean,stable,0.1204,0.2553,-0.1598,0.2842,0.0206,126,elevated,tiingo,0.0203,0.0981,0.3398,-0.0371,-0.0167,0.2174,0.019,0.0706,-0.0984,,,
MMM,industrial,Industrials,2023-12-31,12,4,0.076343,-0.2384,0.846,stable,2.139,grey,4,mixed,-3.558,clean,stable,0.4453,0.4453,-0.1598,0.3199,0.2406,252,elevated,tiingo,0.0203,0.0981,0.3398,-0.0371,-0.0167,0.2174,0.019,0.0706,-0.0984,,,
