observed_regime,horizon_q,n,modal_outcome,pct_stable,pct_rising,pct_elevated,pct_distressed,pct_unavailable,persistence_rate,reversion_rate,deterioration_rate,low_confidence_flag
distressed,1,25,elevated,8.0,12.0,72.0,8.0,0.0,8.0,92.0,0.0,False
distressed,2,25,elevated,12.0,28.0,52.0,8.0,0.0,8.0,92.0,0.0,False
distressed,4,25,elevated,0.0,36.0,44.0,20.0,0.0,20.0,80.0,0.0,False
distressed,8,25,rising,0.0,60.0,28.0,12.0,0.0,12.0,88.0,0.0,False
distressed,12,25,rising,0.0,76.0,12.0,12.0,0.0,12.0,88.0,0.0,False
elevated,1,811,elevated,21.95,22.32,51.29,4.44,0.0,51.29,44.27,4.44,False
elevated,2,811,elevated,23.18,21.95,46.36,8.51,0.0,46.36,45.13,8.51,False
elevated,4,811,elevated,15.17,24.17,49.82,10.85,0.0,49.82,39.33,10.85,False
elevated,8,811,elevated,6.29,35.39,43.53,14.8,0.0,43.53,41.68,14.8,False
elevated,12,811,rising,3.95,41.43,33.91,20.72,0.0,33.91,45.38,20.72,False
rising,1,221,elevated,23.08,20.36,48.87,7.69,0.0,20.36,23.08,56.56,False
rising,2,221,elevated,24.43,19.91,42.08,13.57,0.0,19.91,24.43,55.66,False
rising,4,221,elevated,10.41,27.15,48.42,14.03,0.0,27.15,10.41,62.44,False
rising,8,221,rising,4.07,38.91,38.46,18.55,0.0,38.91,4.07,57.01,False
rising,12,221,rising,1.81,45.25,29.86,23.08,0.0,45.25,1.81,52.94,False
stable,1,829,elevated,22.8,19.66,55.97,1.57,0.0,22.8,0.0,77.2,False
stable,2,829,elevated,30.04,13.15,52.83,3.98,0.0,30.04,0.0,69.96,False
stable,4,829,elevated,17.61,22.32,54.4,5.67,0.0,17.61,0.0,82.39,False
stable,8,829,elevated,4.83,36.07,47.04,12.06,0.0,4.83,0.0,95.17,False
stable,12,829,elevated,2.05,37.27,39.93,20.75,0.0,2.05,0.0,97.95,False
